PlayerId,Position,Height,Weight,CollegeAwards,FG%,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,StartRatio,G,GS,MP,FG,FGA,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,WS/40,PER,OBPM,DBPM,BPM,playerId,isAllStar
chauncey-billups-1,Guard,190,91,2,0.41300000000000003,0.5740000000000001,0.497,0.437,0.497,,,,,,,,18.6,,,55.0,,1866.0,6.4,15.4,3.8,8.7,0.437,2.6,6.7,0.382,6.6,7.7,0.857,6.6,6.0,2.2,0.2,4.4,2.7,21.9,5.7,2.5,8.2,0.177,,,,,chauncey-billups-1,0
chauncey-billups-1,Guard,190,91,2,0.41300000000000003,0.5740000000000001,0.497,0.437,0.497,,,,,,,,18.6,,,55.0,,1866.0,6.4,15.4,3.8,8.7,0.437,2.6,6.7,0.382,6.6,7.7,0.857,6.6,6.0,2.2,0.2,4.4,2.7,21.9,5.7,2.5,8.2,0.177,,,,,chauncey-billups-1,1
erick-barkley-1,Guard,185,80,5,0.396,0.508,0.464,0.40900000000000003,0.363,,,,,,,,13.4,,,65.0,,2261.0,5.6,14.1,3.7,8.3,0.444,1.9,5.8,0.328,3.7,5.1,0.727,3.6,5.3,3.0,0.30000000000000004,2.6,2.8,16.8,2.9,3.8,6.7,0.11800000000000001,,,,,erick-barkley-1,0
eddie-johnson-1,Guard,188,81,4,,0.492,,,0.28800000000000003,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eddie-johnson-1,0
eddie-johnson-1,Guard,188,81,4,,0.492,,,0.28800000000000003,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eddie-johnson-1,1
jeff-turner-1,Forward,206,104,2,,0.543,,,0.294,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeff-turner-1,0
nick-van-exel-1,Guard,185,77,2,0.40900000000000003,0.524,0.497,0.492,0.264,,,,,,,,12.4,,0.44615384620000004,65.0,29.0,1883.0,7.3,17.8,4.1,9.0,0.459,3.1,8.7,0.358,3.3,4.7,0.7010000000000001,3.4,5.0,2.1,0.2,2.8,2.3,20.9,,,,,,,,,nick-van-exel-1,0
nick-van-exel-1,Guard,185,77,2,0.40900000000000003,0.524,0.497,0.492,0.264,,,,,,,,12.4,,0.44615384620000004,65.0,29.0,1883.0,7.3,17.8,4.1,9.0,0.459,3.1,8.7,0.358,3.3,4.7,0.7010000000000001,3.4,5.0,2.1,0.2,2.8,2.3,20.9,,,,,,,,,nick-van-exel-1,1
sam-cassell-1,Guard,190,83,2,0.47800000000000004,0.5690000000000001,0.537,0.321,0.33,,,,,,,,15.1,,0.5303030303,66.0,35.0,2344.0,7.5,15.7,5.7,10.7,0.531,1.8,5.0,0.366,3.8,5.2,0.734,5.0,4.9,2.6,0.30000000000000004,3.2,3.7,20.7,,,,,,,,,sam-cassell-1,0
sam-cassell-1,Guard,190,83,2,0.47800000000000004,0.5690000000000001,0.537,0.321,0.33,,,,,,,,15.1,,0.5303030303,66.0,35.0,2344.0,7.5,15.7,5.7,10.7,0.531,1.8,5.0,0.366,3.8,5.2,0.734,5.0,4.9,2.6,0.30000000000000004,3.2,3.7,20.7,,,,,,,,,sam-cassell-1,1
sindarius-thornwell-1,Guard,196,97,6,0.392,0.518,0.451,0.34700000000000003,0.486,1924.0,5.7,13.0,9.3,20.4,2.8,2.2,15.0,25.8,1.0,132.0,132.0,4194.0,5.7,14.5,4.0,9.5,0.42,1.7000000000000002,5.0,0.339,5.4,7.0,0.771,6.5,3.7,1.9,0.7000000000000001,3.2,3.1,18.5,8.2,7.9,16.1,0.153,19.2,4.0,3.8,7.8,sindarius-thornwell-1,0
greg-kite-1,Center,211,113,0,,0.465,,,0.41600000000000004,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greg-kite-1,0
dale-ellis-1,Forward,201,92,9,,0.627,,,0.375,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dale-ellis-1,1
dale-ellis-1,Forward,201,92,9,,0.627,,,0.375,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dale-ellis-1,0
rich-king-1,Center,218,117,2,,0.594,0.5650000000000001,0.005,0.51,,,,13.5,13.5,,4.4,18.0,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rich-king-1,0
norman-black-1,Guard,196,83,0,,0.495,,,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,norman-black-1,0
gordon-hayward-1,Forward,203,93,4,0.47000000000000003,0.624,0.562,0.495,0.536,549.0,7.6,23.4,14.1,12.9,2.0,2.7,14.8,22.3,1.0,69.0,69.0,2284.0,5.2,11.1,3.2,5.6,0.5690000000000001,2.0,5.5,0.369,4.9,6.0,0.8240000000000001,9.0,2.2,1.5,1.1,2.4,2.5,17.4,7.9,6.3,14.2,0.249,,,,,gordon-hayward-1,1
gordon-hayward-1,Forward,203,93,4,0.47000000000000003,0.624,0.562,0.495,0.536,549.0,7.6,23.4,14.1,12.9,2.0,2.7,14.8,22.3,1.0,69.0,69.0,2284.0,5.2,11.1,3.2,5.6,0.5690000000000001,2.0,5.5,0.369,4.9,6.0,0.8240000000000001,9.0,2.2,1.5,1.1,2.4,2.5,17.4,7.9,6.3,14.2,0.249,,,,,gordon-hayward-1,0
tony-farmer-1,Forward,206,110,0,,0.552,0.493,0.105,0.686,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tony-farmer-1,0
